paper_id,citation,year,title,venue,venue_type,paper_type,themes,algorithm_or_model,problem,proposed_solution,claim,dataset_testbed,abstract
arxiv-2503.21670,Sheth et al. (2025),2025,COMI-LINGUA: Expert Annotated Large-Scale Dataset for Multitask NLP in Hindi-English Code-Mixing,arXiv,preprint,dataset-benchmark,"code-mixing, Hindi-English NLP, dataset annotation, large language models","COMI-LINGUA dataset with LoRA fine-tuned open-weight LLMs (LLaMA-3.1-8B-Instruct, aya-expanse-8b, Qwen2.5-7B-Instruct)","Existing Hindi-English (Hinglish) code-mixed resources are small, skewed toward the Roman script, narrow in task coverage, and often synthetically generated rather than human-annotated, leaving researchers without a large, high-quality benchmark for training and evaluating models on code-mixed NLP.","The authors curate COMI-LINGUA, the largest expert-annotated Hinglish code-mixed dataset spanning five NLP tasks and both Devanagari and Roman scripts, and use it to benchmark traditional NLP tools and LLMs under zero-shot, one-shot, and fine-tuned settings.","Fine-tuning open-weight LLMs on COMI-LINGUA brings substantial gains over prompting approaches and traditional tools, setting new benchmarks for Hinglish code-mixed NLP with up to 98.77 F1 on MLI and 95.25 F1 on NER.","COMI-LINGUA (newly created expert-annotated Hinglish code-mixed dataset, 125,615 instances across five tasks), raw text scraped from Indian news portals, X (Twitter), YouTube, and government archives, plus supplementary Hinglish samples from prior corpora (e.g., PHINC), four NVIDIA Tesla V100 32 GB GPUs for fine-tuning and inference","We introduce COMI-LINGUA, the largest manually annotated Hindi-English code-mixed dataset, comprising 125K+ high-quality instances across five core NLP tasks: Token-level Language Identification, Matrix Language Identification, Named Entity Recognition, Part-Of-Speech Tagging and Machine Translation. Each instance is annotated by three bilingual annotators, yielding over 376K expert annotations with strong inter-annotator agreement (Fleiss’ Kappa ≥\\geq 0.81). The rigorously preprocessed and filtered dataset covers both Devanagari and Roman scripts and spans diverse domains, ensuring real-world linguistic coverage. Evaluation reveals that closed-weight LLMs significantly outperform traditional tools and open-weight models in zero-shot settings. Notably, one-shot prompting consistently boosts performance across tasks, especially in structure-sensitive predictions like POS and NER. Fine-tuning open-weight LLMs on COMI-LINGUA demonstrates substantial improvements, achieving up to 95.25 F1 in NER, 98.77 F1 in MLI, and competitive MT performance, setting new benchmarks for Hinglish code-mixed text. COMI-LINGUA is publicly available at this URL11 1 [https://huggingface.co/datasets/LingoIITGN/COMI-LINGUA](https://huggingface.co/datasets/LingoIITGN/COMI-LINGUA """") Version 1.0, Updated till 15nd September 2025.."
arxiv-2510.07037,Sheth et al. (2025),2025,Beyond Monolingual Assumptions: A Survey on Code-Switched NLP in the Era of Large Language Models across Modalities,arXiv,preprint,survey,"code-switching, large language models, multilingual NLP, multimodal NLP",N/A,"Large language models struggle with mixed-language inputs due to scarce code-switching datasets, evaluation biases, and monolingual training assumptions.","The authors present a comprehensive survey of code-switched NLP research in the LLM era, covering architectures, training strategies, evaluation methods, and a future roadmap.","The authors find that LLM gains in code-switching remain limited to high-resource languages, while models still struggle in low-resource settings.",N/A,"Amidst the rapid advances of large language models (LLMs), most LLMs still struggle with mixed-language inputs, limited Code-switching (CSW) datasets, and evaluation biases, which hinder their deployment in multilingual societies. This survey provides the first comprehensive analysis of CSW-aware LLM research, reviewing ?​??? studies spanning five research areas, 15+ NLP tasks, 30+ datasets, and 80+ languages. We categorize recent advances by architecture, training strategy, and evaluation methodology, outlining how LLMs have reshaped CSW modeling and identifying the challenges that persist. The paper concludes with a roadmap that emphasizes the need for inclusive datasets, fair evaluation, and linguistically grounded models to achieve truly multilingual capabilities.11 1 A curated collection of all resources is maintained at [https://github.com/lingo-iitgn/awesome-code-mixing/](https://github.com/lingo-iitgn/awesome-code-mixing/ """")."
arxiv-2510.10776,Teves et al. (2025),2025,HiligayNER: A Baseline Named Entity Recognition Model for Hiligaynon,"Pacific Asia Conference on Language, Information and Computation",conference,dataset-benchmark,"named entity recognition, low-resource languages, Philippine languages, cross-lingual transfer","HiligayNER, fine-tuned mBERT and XLM-RoBERTa token classifiers","Hiligaynon, a regional Philippine language spoken by over 10 million people, has no publicly available NER corpus or baseline model, which leaves it underrepresented in language processing research.","The authors compiled an annotated corpus of over 8,000 Hiligaynon sentences with BIO entity tags and fine-tuned mBERT and XLM-RoBERTa on it to create baseline NER models.","Both finetuned models exceed 0.80 F1 on all main entity tags, and zero-shot transfer to Cebuano and Tagalog reaches about 0.46 macro F1, showing cross-lingual utility.","HiligayNER corpus of 8,082 cleaned Hiligaynon sentences collected from online news articles, social media posts, and literary texts, Cebuano test data for zero-shot cross-lingual evaluation, Tagalog test data for zero-shot cross-lingual evaluation","The language of Hiligaynon, spoken predominantly by the people of Panay Island, Negros Occidental, and Soccsksargen in the Philippines, remains underrepresented in language processing research due to the absence of annotated corpora and baseline models. This study introduces HiligayNER, the first publicly available baseline model for the task of Named Entity Recognition (NER) in Hiligaynon. The dataset used to build HiligayNER contains over 8,000 annotated sentences collected from publicly available news articles, social media posts, and literary texts. Two Transformer-based models, mBERT and XLM-RoBERTa, were fine-tuned on this collected corpus to build versions of HiligayNER. Evaluation results show strong performance, with both models achieving over 80% in precision, recall, and F1-score across entity types. Furthermore, cross-lingual evaluation with Cebuano and Tagalog demonstrates promising transferability, suggesting the broader applicability of HiligayNER for multilingual NLP in low-resource settings. This work aims to contribute to language technology development for underrepresented Philippine languages, specifically for Hiligaynon, and support future research in regional language processing."
doi-10.24963-ijcai.2025-805,Zhou et al. (2025),2025,Injecting Imbalance Sensitivity for Multi-Task Learning,Proceedings of the Thirty-Fourth International Joint Conference on Artificial Intelligence (IJCAI-25),conference,experimental,"multi-task learning, gradient manipulation, task imbalance, multi-objective optimization",IMGrad (IMbalance-sensitive Gradient descent),"Gradient-based optimization methods for multi-task learning concentrate on resolving conflicting task gradients while neglecting the imbalance or dominance among individual task gradients, which the authors argue is the more significant obstacle to optimizing all tasks simultaneously.","The authors inject imbalance sensitivity into an established gradient-combination baseline (CAGrad) by adding a projected-norm constraint that encourages the combined gradient to promote every individual task, with an adaptive weighting tied to a cosine-based measure of gradient imbalance, and apply the same idea to augment Nash-MTL.","Adding imbalance sensitivity lets IMGrad consistently improve its gradient-manipulation baselines and surpass prior state-of-the-art gradient manipulation methods across supervised and reinforcement learning benchmarks, including the best overall ∆m% on NYUv2 and CityScapes and the highest success rate on MT10.","CityScapes, NYUv2, CelebA, MT10 (Meta-World), imbalanced synthetic two-task toy benchmark, Tesla V100 GPUs","Multi-task learning (MTL) has emerged as a promising approach for deploying deep learning models in real-life applications. Recent studies have proposed optimization-based learning paradigms to establish task-shared representations in MTL. However, our paper empirically argues that these studies, specifically gradient-based ones, primarily emphasize the conflict issue while neglecting the potentially more significant impact of imbalance/dominance in MTL. In line with this perspective, we enhance the existing baseline method by injecting imbalance-sensitivity through the imposition of constraints on the projected norms. To demonstrate the effectiveness of our proposed IMbalance-sensitive Gradient (IMGrad) descent method, we evaluate it on multiple mainstream MTL benchmarks, encompassing supervised learning tasks as well as reinforcement learning. The experimental results consistently demonstrate competitive performance."
arxiv-2109.09138,Chen et al. (2024),2024,Multi-Task Learning in Natural Language Processing: An Overview,ACM Computing Surveys,journal,survey,"multi-task learning, natural language processing, deep learning, model architectures",N/A,"Directly training deep neural models on NLP tasks suffers from pervasive overfitting and data scarcity, because sufficiently training such models requires large amounts of expensive labeled data along with substantial computing, time, and storage budgets.","The authors survey how multi-task learning is applied to NLP by organizing MTL architectures into four classes (parallel, hierarchical, modular, and generative adversarial) and reviewing optimization techniques for loss construction, gradient regularization, data sampling, and task scheduling, along with applications and benchmark datasets.","The survey provides a structured taxonomy of multi-task learning in NLP, arguing that learning from multiple related tasks lets models aggregate training data, share common knowledge, and achieve simultaneous performance improvements across tasks, while identifying task relatedness, leveraging unlabeled data, and better MTL architectures for pre-trained language models as key open directions.",N/A,"Deep learning approaches have achieved great success in the field of Natural Language Processing (NLP). However, directly training deep neural models often suffer from overfitting and data scarcity problems that are pervasive in NLP tasks. In recent years, Multi-Task Learning (MTL), which can leverage useful information of related tasks to achieve simultaneous performance improvement on these tasks, has been used to handle these problems. In this paper, we give an overview of the use of MTL in NLP tasks. We first review MTL architectures used in NLP tasks and categorize them into four classes, including parallel architecture, hierarchical architecture, modular architecture, and generative adversarial architecture. Then we present optimization techniques on loss construction, gradient regularization, data sampling, and task scheduling to properly train a multi-task model. After presenting applications of MTL in a variety of NLP tasks, we introduce some benchmark datasets. Finally, we make a conclusion and discuss several possible research directions in this field."
arxiv-2402.02998,Hsieh et al. (2024),2024,Careful with that Scalpel: Improving Gradient Surgery with an EMA,International Conference on Machine Learning,conference,methodology-theory,"gradient surgery, bilevel optimization, multi-task learning, auxiliary losses",Bloop (BiLevel Optimization with Orthogonal Projection),Training with an auxiliary loss often fails because curvature conflicts and stochastic gradient noise degrade optimization in standard regularized and gradient surgery methods.,"The authors propose Bloop, which updates parameters along the main gradient plus the auxiliary gradient projected orthogonal to an exponential moving average of past main gradients.",Using an exponential moving average of main gradients in gradient surgery improves trade-offs between main and auxiliary losses over existing methods across vision and language tasks.,"MNIST (MLP trained with a Lipschitz constant proxy as auxiliary loss), ImageNet (ResNet50 trained with squared L2 norm auxiliary loss), Cifar10Mnist (composite of CIFAR-10 and MNIST, ResNet18 with two classification heads), C4 (30M examples for next-token prediction pre-training), RCV-1 (20K examples as the auxiliary specialization dataset), Paracrawl (36M English-German sentence pairs for the main translation loss), WMT (2009-2019 data as auxiliary translation set, 2020 data for evaluation), CIFAR-10 (joint classification with ImageNet in the appendix experiment)","Beyond minimizing a single training loss, many deep learning estimation pipelines rely on an auxiliary objective to quantify and encourage desirable properties of the model (e.g. performance on another dataset, robustness, agreement with a prior). Although the simplest approach to incorporating an auxiliary loss is to sum it with the training loss as a regularizer, recent works have shown that one can improve performance by blending the gradients beyond a simple sum; this is known as gradient surgery. We cast the problem as a constrained minimization problem where the auxiliary objective is minimized among the set of minimizers of the training loss. To solve this bilevel problem, we follow a parameter update direction that combines the training loss gradient and the orthogonal projection of the auxiliary gradient to the training gradient. In a setting where gradients come from mini-batches, we explain how, using a moving average of the training loss gradients, we can carefully maintain this critical orthogonality property. We demonstrate that our method, Bloop, can lead to much better performances on NLP and vision experiments than other gradient surgery methods without EMA."
doi-10.1109-cvpr52733.2024.00042,Jeong and Yoon (2024),2024,Quantifying Task Priority for Multi-Task Optimization,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),conference,experimental,"multi-task learning, multi-task optimization, conflicting gradients, dense prediction",connection strength-based optimization,"Gradient manipulation methods realign conflicting gradients without knowing which shared parameters matter for each task, so multi-task learning ends at sub-optimal Pareto solutions with negative transfer.",The authors quantify task priority with the strength of task-specific connections and split optimization into a phase that learns the priority and a phase that projects gradients to preserve it.,"Learning and preserving task priority enables the method to find new Pareto optimal solutions and to consistently outperform earlier gradient manipulation methods on multiple datasets, loss scalings, and architectures.","NYUD-v2, PASCAL-Context, Cityscapes","The goal of multi-task learning is to learn diverse tasks within a single unified network. As each task has its own unique objective function, conflicts emerge during training, resulting in negative transfer among them. Earlier research identified these conflicting gradients in shared parameters between tasks and attempted to realign them in the same direction. However, we prove that such optimization strategies lead to sub-optimal Pareto solutions due to their inability to accurately determine the individual contributions of each parameter across various tasks. In this paper, we propose the concept of task priority to evaluate parameter contributions across different tasks. To learn task priority, we identify the type of connections related to links between parameters influenced by task-specific losses during backpropagation. The strength of connections is gauged by the magnitude of parameters to determine task priority. Based on these, we present a new method named connection strength-based optimization for multi-task learning which consists of two phases. The first phase learns the task priority within the network, while the second phase modifies the gradients while upholding this priority. This ultimately leads to finding new Pareto optimal solutions for multiple tasks. Through extensive experiments, we show that our approach greatly enhances multi-task performance in comparison to earlier gradient manipulation methods."
arxiv-2410.00182,McDaniel et al. (2024),2024,Zero-Shot Classification of Crisis Tweets Using Instruction-Finetuned Large Language Models,IEEE IHTC 2024 (Int. Humanitarian Technologies Conference),conference,experimental,"zero-shot classification, large language models, crisis informatics, social media","Zero-shot classification with instruction-tuned LLMs, specifically GPT-4o, Gemini 1.5 Flash, and Claude 3.5 Sonnet","Humanitarian practitioners lack knowledge of how well commercial large language models classify crisis social media posts without task-specific training, and of how such zero-shot performance compares to fine-tuned benchmarks.","They prompt three commercial models in a single instruction to judge informativeness and rank 16 humanitarian labels, then score the zero-shot answers on CrisisBench across prompt configurations.","Zero-shot LLMs come within six percent of fine-tuned classifiers on the binary informativeness task, while performance drops sharply on the 16-class humanitarian task mostly because of ambiguous dataset labels.","CrisisBench consolidated crisis tweet dataset, CrisisMMD image tweet subset within CrisisBench, Manually annotated sample of 225 tweets from the affected_individual, caution_and_advice, and disease_related classes","Social media posts are frequently identified as a valuable source of open-source intelligence for disaster response, and pre-LLM NLP techniques have been evaluated on datasets of crisis tweets. We assess three commercial large language models (OpenAI GPT-4o, Gemini 1.5-flash-001 and Anthropic Claude-3-5 Sonnet) capabilities in zero-shot classification of short social media posts. In one prompt, the models are asked to perform two classification tasks: 1) identify if the post is informative in a humanitarian context; and 2) rank and provide probabilities for the post in relation to 16 possible humanitarian classes. The posts being classified are from the consolidated crisis tweet dataset, CrisisBench. Results are evaluated using macro, weighted, and binary F1-scores. The informative classification task, generally performed better without extra information, while for the humanitarian label classification providing the event that occurred during which the tweet was mined, resulted in better performance. Further, we found that the models have significantly varying performance by dataset, which raises questions about dataset quality."
arxiv-2409.15380,Montalan et al. (2024),2024,"Kalahi: A handcrafted, grassroots cultural LLM evaluation suite for Filipino",PACLIC 38 (2024),conference,dataset-benchmark,"cultural evaluation of LLMs, Filipino NLP, benchmark datasets, low-resource languages",Kalahi cultural evaluation suite,Current multilingual LLMs often fail to give culturally fitting answers to Filipino users because most cultural evaluations are built top-down from large surveys and translated English datasets.,"The authors built Kalahi, a set of 150 handcrafted Filipino situation prompts with culturally relevant and irrelevant answer options, written and validated together with native Filipino speakers.","Native Filipino validators answered most Kalahi items correctly while the best of nine tested LLMs reached only 46.0 percent, so the benchmark reliably measures Filipino cultural representation in LLMs.","Kalahi (new 150-prompt handcrafted Filipino cultural evaluation suite), Aya 23 8B, Qwen 2 7B Instruct, Sailor 7B Chat, SeaLLMs 3 7B Chat, BLOOMZ 7B1, Falcon 7B Instruct, Gemma 2 9B Instruct, Llama 3.1 8B Instruct, SEA-LION 2.1 8B Instruct","Multilingual large language models (LLMs) today may not necessarily provide culturally appropriate and relevant responses to its Filipino users. We introduce Kalahi, a cultural LLM evaluation suite that is part of SEA-HELM. It was collaboratively created by native Filipino speakers, and is composed of 150 high-quality, handcrafted and nuanced prompts that test LLMs for generations that are relevant to shared Filipino cultural knowledge and values. Strong LLM performance in Kalahi indicates a model's ability to generate responses similar to what an average Filipino would say or do in a given situation. We conducted experiments on LLMs with multilingual and Filipino language support. Results show that Kalahi, while trivial for Filipinos, is challenging for LLMs, with the best model answering only 46.0% of the questions correctly compared to native Filipino performance of 89.10%. Thus, Kalahi can be used to accurately and reliably evaluate Filipino cultural representation in LLMs."
arxiv-2411.18615,Zhang et al. (2024),2024,Proactive Gradient Conflict Mitigation in Multi-Task Learning: A Sparse Training Perspective,arXiv,preprint,experimental,"multi-task learning, gradient conflict, sparse training, parameter selection",Sparse training (ST) with parameter selection per neuron (PSN),"Gradient conflicts between task gradients during joint multi-task training cause task competition, and existing gradient manipulation methods react to conflicts without reducing how often they occur.","The authors propose sparse training that updates only a selected subset of parameters chosen per neuron by magnitude, and they combine it with gradient manipulation methods.","Sparse training lowers the frequency of gradient conflict during training and consistently improves multi-task performance across datasets and architectures, both alone and combined with gradient manipulation methods.","NYUv2, CityScapes, CelebA, Clevr (from VTAB), SmallNORB (from VTAB)","Advancing towards generalist agents necessitates the concurrent processing of multiple tasks using a unified model, thereby underscoring the growing significance of simultaneous model training on multiple downstream tasks. A common issue in multi-task learning is the occurrence of gradient conflict, which leads to potential competition among different tasks during joint training. This competition often results in improvements in one task at the expense of deterioration in another. Although several optimization methods have been developed to address this issue by manipulating task gradients for better task balancing, they cannot decrease the incidence of gradient conflict. In this paper, we systematically investigate the occurrence of gradient conflict across different methods and propose a strategy to reduce such conflicts through sparse training (ST), wherein only a portion of the model's parameters are updated during training while keeping the rest unchanged. Our extensive experiments demonstrate that ST effectively mitigates conflicting gradients and leads to superior performance. Furthermore, ST can be easily integrated with gradient manipulation techniques, thus enhancing their effectiveness."
arxiv-2305.13707,Ahia et al. (2023),2023,Do All Languages Cost the Same? Tokenization in the Era of Commercial Language Models,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing (EMNLP 2023),conference,experimental,"tokenization, multilingual language models, commercial LM APIs, fairness","byte-level byte pair encoding (BBPE) tokenization, analyzed on ChatGPT (gpt-3.5-turbo) and BLOOMZ","Commercial language model APIs charge users per token, and because subword tokenizers fragment different languages and scripts at very different rates, speakers of some languages pay much more to convey the same information.","The authors run a systematic analysis across 22 typologically diverse languages measuring tokenizer fragmentation, estimated API cost, in-context learning performance, and socio-economic affordability, to expose the unfairness of per-token API pricing.","Speakers of many supported non-Latin-script languages are overcharged by commercial LM APIs while receiving poorer in-context learning performance, and this double unfairness falls hardest on populations in less economically developed countries.","FLORES-200 (subset), WMT 2021 data, XNLI, XFACT, XQUAD, CrossSum, XLSUM, CC100 (used to estimate ChatGPT pretraining language distribution), ChatGPT (gpt-3.5-turbo) via OpenAI API, BLOOMZ via HuggingFace Inference API","Language models have graduated from being research prototypes to commercialized products offered as web APIs, and recent works have highlighted the multilingual capabilities of these products. The API vendors charge their users based on usage, more specifically on the number of “tokens” processed or generated by the underlying language models. What constitutes a token, however, is training data and model dependent with a large variance in the number of tokens required to convey the same information in different languages. In this work, we analyze the effect of this non-uniformity on the fairness of an API’s pricing policy across languages. We conduct a systematic analysis of the cost and utility of OpenAI’s language model API on multilingual benchmarks in 22 typologically diverse languages. We show evidence that speakers of a large number of the supported languages are overcharged while obtaining poorer results. These speakers tend to also come from regions where the APIs are less affordable to begin with. Through these analyses, we aim to increase transparency around language model APIs’ pricing policies and encourage the vendors to make them more equitable."
doi-10.18653-v1-2023.acl-long.144,Chai et al. (2023),2023,Improving Gradient Trade-offs between Tasks in Multi-task Text Classification,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics Volume 1: Long Papers,conference,experimental,"multi-task learning, text classification, gradient conflict, multi-objective optimization",GetMTL,Simultaneous training of multiple tasks often degrades performance because tasks conflict with each other and existing methods achieve only arbitrary Pareto trade-offs.,"The authors propose GetMTL, a gradient trade-off method that optimizes update directions near the average task gradient to improve all tasks simultaneously.",GetMTL outperforms existing multi-task learning methods on both benchmarks by reaching superior average classification accuracy and improving individual task performance.,"Amazon Review dataset with 14 product review domains treated as 14 binary classification tasks (22180 training and 5600 test instances), Topic classification dataset from 20 Newsgroups with 16 newsgroups divided into four 4-way classification tasks","Multi-task learning (MTL) has emerged as a promising approach for sharing inductive bias across multiple tasks to enable more efficient learning in text classification. However, training all tasks simultaneously often yields degraded performance of each task than learning them independently, since different tasks might conflict with each other. Existing MTL methods for alleviating this issue is to leverage heuristics or gradient-based algorithm to achieve an arbitrary Pareto optimal trade-off among different tasks. In this paper, we present a novel gradient trade-off approach to mitigate the task conflict problem, dubbed GetMTL, which can achieve a specific tradeoff among different tasks nearby the main objective of multi-task text classification (MTC), so as to improve the performance of each task simultaneously. The results of extensive experiments on two benchmark datasets back up our theoretical analysis and validate the superiority of our proposed GetMTL."
arxiv-2305.13256,Kim et al. (2023),2023,TaskWeb: Selecting Better Source Tasks for Multi-task NLP,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing (EMNLP 2023),conference,experimental,"multi-task learning, task transfer, task selection, natural language processing",TaskShop,"Because inter-task relationships are poorly understood, researchers lack principled ways to select helpful source tasks for learning a new target task.","The authors introduce TaskWeb to benchmark pairwise transfers and propose TaskShop, a method that uses pivot tasks and transfer scores to select source tasks for an unseen target.","TaskShop effectively selects source tasks using pairwise transfer scores, enabling small multi-task training sets to achieve superior zero-shot performance compared to models trained on much larger task sets.","TaskWeb, ANLI, CB, QNLI, RTE, SciTail, SNLI, MRPC, QQP, STSB, IMDB, Rotten Tomatoes, COPA, CosmosQA, HellaSwag, PIQA, Quartz, SocialIQA, Winogrande, WiC, WSC, BoolQ, SQuAD2.0, Story Cloze","Recent work in NLP has shown promising results in training models on large amounts of tasks to achieve better generalization. However, it is not well-understood how tasks are related, and how helpful training tasks can be chosen for a new task. In this work, we investigate whether knowing task relationships via pairwise task transfer improves choosing one or more source tasks that help to learn a new target task. We provide TaskWeb, a large-scale benchmark of pairwise task transfers for 22 NLP tasks using three different model types, sizes, and adaptation methods, spanning about 25,000 experiments. Then, we design a new method TaskShop based on our analysis of TaskWeb. TaskShop uses TaskWeb to estimate the benefit of using a source task for learning a new target task, and to choose a subset of helpful training tasks for multi-task training. Our method improves overall rankings and top-kk precision of source tasks by 10% and 38%, respectively. We also use TaskShop to build much smaller multi-task training sets that improve zero-shot performances across 11 different target tasks by at least 4.3%. 11 1 Our code is available at [https://github.com/danieljkim0118/TaskWeb](https://github.com/danieljkim0118/TaskWeb """")."
doi-10.18653-v1-2023.acl-long.412,Ni et al. (2023),2023,When Does Aggregating Multiple Skills with Multi-Task Learning Work? A Case Study in Financial NLP,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics Volume 1: Long Papers,conference,experimental,"multi-task learning, financial NLP, task aggregation, parameter-efficient fine-tuning",SPAL-FinBERT,"It is unclear when multi-task learning helps, because negative transfer often occurs, and past work studies algorithmic fixes more than which tasks and skills should be aggregated.",The authors run a case study in Financial NLP where they aggregate six datasets covering diverse skills with multi-task learning and test which aggregation properties make it work.,"Aggregating diverse but related Financial NLP tasks with MTL improves most tasks cheaply, provided the aggregation size matches the shared capacity of the model.","FinDATA (six-task Financial NLP aggregation compiled by the authors), Financial PhraseBank sentiment classification (SC), SemEval-2017 Task 5 target-based sentiment analysis (TSA), FinNum-3 number classification (NC), FinNum-2 number attachment detection (NAD), TAP quantitative semantic role labeling dataset (FSRL), FinCausal 2020 causality detection (CD), StockSen (unseen task few-shot generalization), Numeracy-600K (unseen task few-shot generalization), NVIDIA RTX2080 GPUs","Multi-task learning (MTL) aims at achieving a better model by leveraging data and knowledge from multiple tasks. However, MTL does not always work – sometimes negative transfer occurs between tasks, especially when aggregating loosely related skills, leaving it an open question when MTL works. Previous studies show that MTL performance can be improved by algorithmic tricks. However, what tasks and skills should be included is less well explored. In this work, we conduct a case study in Financial NLP where multiple datasets exist for skills relevant to the domain, such as numeric reasoning and sentiment analysis. Due to the task difficulty and data scarcity in the Financial NLP domain, we explore when aggregating such diverse skills from multiple datasets with MTL can work. Our findings suggest that the key to MTL success lies in skill diversity, relatedness between tasks, and choice of aggregation size and shared capacity. Specifically, MTL works well when tasks are diverse but related, and when the size of the task aggregation and the shared capacity of the model are balanced to avoid overwhelming certain tasks."
arxiv-2310.00679,Pilar et al. (2023),2023,CebuaNER: A New Baseline Cebuano Named Entity Recognition Model,PACLIC 37 (2023),conference,experimental,"named entity recognition, low-resource languages, Cebuano, corpus annotation","CebuaNER, a CRF and BiLSTM baseline for Cebuano NER",Cebuano lacks gold-standard named entity recognition data and baseline models because low-resource Southeast Asian languages receive far less research support than high-resource languages.,"The authors collected and annotated 4,258 Cebuano news articles with native speaker annotators, then trained Conditional Random Field and BiLSTM models on this corpus as a public baseline.","The optimized CRF model exceeded 0.70 in precision, recall, and F1 for every entity tag, setting a stronger baseline for Cebuano NER with crosslingual potential.","CebuaNER corpus of 4,258 annotated Cebuano news articles from Yes the Best Dumaguete, Filipinas Bisaya, and SunStar Cebu (new dataset), cebtenten Cebuano corpus from Sketch Engine for word cluster features, Corrected Tagalog WikiANN dataset from the calamanCy library with 782 documents for the crosslingual experiment","Despite being one of the most linguistically diverse groups of countries, computational linguistics and language processing research in Southeast Asia has struggled to match the level of countries from the Global North. Thus, initiatives such as open-sourcing corpora and the development of baseline models for basic language processing tasks are important stepping stones to encourage the growth of research efforts in the field. To answer this call, we introduce CebuaNER, a new baseline model for named entity recognition (NER) in the Cebuano language. Cebuano is the second most-used native language in the Philippines with over 20 million speakers. To build the model, we collected and annotated over 4,000 news articles, the largest of any work in the language, retrieved from online local Cebuano platforms to train algorithms such as Conditional Random Field and Bidirectional LSTM. Our findings show promising results as a new baseline model, achieving over 70% performance on precision, recall, and F1 across all entity tags as well as potential efficacy in a crosslingual setup with Tagalog."
doi-10.21203-rs.3.rs-3328574-v1,S R et al. (2023),2023,Leveraging Multi-Task Learning in Code-Switched setting,Research Square,preprint,experimental,"multi-task learning, code-switching, named entity recognition, natural language processing","Multi-task hard-parameter-sharing architecture of transformer encoder, BiLSTM and shared MLPs with task-specific MLP-CRF layers","NLP systems struggle to interpret code-switched language because models must adapt to language-mixing patterns, and code-switched data is scarce and lacks the transcriptions needed to train deep learning models.","The authors propose a multi-task learning framework with hard parameter sharing that couples a pre-trained multilingual transformer encoder with a bidirectional LSTM and shared MLP layers, plus task-specific MLP-CRF heads and an uncertainty-weighted joint loss, so that a primary token classification task can benefit from the training signals of a related task.","Multi-task learning in a code-switched setting outperforms the traditional single-task approach, with the NER task leveraging signals from the related language identification task to improve generalizability and F1 performance across all tested pre-trained models.","LinCE benchmark (Named Entity Recognition and Language Identification tasks, Hindi-English)","Multilingualism is the ability to converse fluently in more than one language. In multilingual societies, code-switching, the practise of switching languages during a conversation, occurs often, creating a need for multilingual dialogue and voice recognition systems in natural language processing (NLP). However, interpreting code-switching utterances is extremely difficult for these NLP systems, as the model must adjust to code-switching patterns. In recent years, deep learning strategies have enabled natural language systems with massive volumes of training data to attain human-level performance in languages. However, they cannot accommodate a large number of low-resource languages, mostly mixed languages. Also, code-switching, despite being a common occurrence, is unique to spoken language and lacks the transcriptions necessary for training deep learning models. Our work in this paper, explores the usage of multi-task learning in code-switched setting to see if it can leverage from the training signals of related tasks and improve the generalizability as well as boost the performance and metrics of our model."
arxiv-2302.11289,Shi et al. (2023),2023,Recon: Reducing Conflicting Gradients from the Root for Multi-Task Learning,11th International Conference on Learning Representations (ICLR 2023),conference,experimental,"multi-task learning, conflicting gradients, negative transfer, network architecture design",Recon,"Multi-task learning suffers from negative transfer because task gradients can conflict during joint optimization, allowing dominant gradients to hurt the performance of other tasks and preventing convergence to a good solution.","The authors propose Recon, which measures layer-wise task gradient conflicts during an initial training run, converts the shared layers with the highest conflict scores into task-specific layers, and retrains the modified network from scratch.",Recon greatly reduces the occurrence of severe conflicting gradients in the remaining shared layers and consistently improves the performance of existing multi-task learning methods while adding only a small number of parameters.,"Multi-Fashion+MNIST, CityScapes, NYUv2, PASCAL-Context, CelebA","A fundamental challenge for multi-task learning is that different tasks may conflict with each other when they are solved jointly, and a cause of this phenomenon is *conflicting gradients* during optimization. Recent works attempt to mitigate the influence of conflicting gradients by directly altering the gradients based on some criteria. However, our empirical study shows that “gradient surgery” cannot effectively reduce the occurrence of conflicting gradients. In this paper, we take a different approach to reduce conflicting gradients *from the root*. In essence, we investigate the task gradients w.r.t. each *shared* network layer, select the layers with high conflict scores, and turn them to *task-specific* layers. Our experiments show that such a simple approach can greatly reduce the occurrence of conflicting gradients in the remaining shared layers and achieve better performance, with only a slight increase in model parameters in many cases. Our approach can be easily applied to improve various state-of-the-art methods including gradient manipulation methods and branched architecture search methods. Given a network architecture (e.g., ResNet18), it only needs to search for the conflict layers once, and the network can be modified to be used with different methods on the same or even different datasets to gain performance improvement. The source code is available at [https://github.com/moukamisama/Recon](https://github.com/moukamisama/Recon """")."
