paper_id,citation,year,title,venue,venue_type,pillar,paper_type,algorithm_or_model,role_in_thesis,problem,proposed_solution,claim,dataset_testbed,abstract
openreview-IMPnRXEWpvr,Liu et al. (2021),2021,TOWARDS IMPARTIAL MULTI-TASK LEARNING,International Conference on Learning Representations,conference,Multi-Task Optimization,experimental,Impartial Multi-task Learning (IMTL),Provides the benchmarked IMTL algorithm that ensures scale-invariant learning by enforcing equal gradient projections for shared parameters and dynamically balancing task loss magnitudes.,"Training multiple tasks simultaneously in multi-task learning causes some tasks to be learned well while others are overlooked, because tasks have different loss scales and gradient magnitudes and compete with each other.","The authors propose impartial multi-task learning (IMTL), which combines a closed-form gradient balance method (IMTL-G) that gives the aggregated gradient equal projections onto each task for shared parameters with a learnable loss balance method (IMTL-L) that keeps task-specific losses at a comparable scale.","Combining gradient balance for task-shared parameters with loss balance for task-specific parameters yields impartial, scale-invariant multi-task learning that outperforms existing loss weighting methods on Cityscapes, NYUv2, and CelebA, and is the most robust to loss scale changes.","Cityscapes, NYUv2, CelebA","Multi-task learning (MTL) has been widely used in representation learning. However, na¨ıvely training all tasks simultaneously may lead to the partial training issue, where specific tasks are trained more adequately than others. In this paper, we propose to learn multiple tasks impartially. Specifically, for the _task-shared_ parameters, we optimize the scaling factors via a closed-form solution, such that the aggregated gradient (sum of raw gradients weighted by the scaling factors) has equal projections onto individual tasks. For the _task-specific_ parameters, we dynamically weigh the task losses so that all of them are kept at a comparable scale. Further, we find the above _gradient_ balance and _loss_ balance are complementary and thus propose a hybrid balance method to further improve the performance. Our impartial multi-task learning (IMTL) can be end-to-end trained without any heuristic hyper-parameter tuning, and is general to be applied on all kinds of losses without any distribution assumption. Moreover, our IMTL can converge to similar results even when the task losses are designed to have different scales, and thus it is scale-invariant. We extensively evaluate our IMTL on the standard MTL benchmarks including Cityscapes, NYUv2 and CelebA. It outperforms existing loss weighting methods under the same experimental settings."
arxiv-2001.06782,Yu et al. (2020),2020,Gradient Surgery for Multi-Task Learning,Advances in Neural Information Processing Systems 33 (NeurIPS 2020),conference,Multi-Task Optimization,experimental,PCGrad (Projecting Conflicting Gradients),Introduces the benchmarked PCGrad algorithm that projects conflicting task gradients onto the normal planes of one another to reduce destructive gradient interference.,"Jointly training multiple tasks often degrades performance and data efficiency because conflicting gradients, dominating gradient magnitudes, and high loss curvature cause destructive gradient interference.","The authors propose PCGrad, which detects conflicting task gradients by negative cosine similarity and projects each conflicting gradient onto the normal plane of the other.","PCGrad significantly improves optimization speed, data efficiency, and final performance across multi-task supervised and reinforcement learning benchmarks, while combining effectively with existing multi-task network architectures.","MultiMNIST, CityScapes, CelebA, CIFAR-100, NYUv2, Meta-World MT10 benchmark, Meta-World MT50 benchmark, Meta-World Sawyer robot pushing task, NVIDIA TITAN RTX GPU","While deep learning and deep reinforcement learning (RL) systems have demonstrated impressive results in domains such as image classification, game playing, and robotic control, data efficiency remains a major challenge. Multi-task learning has emerged as a promising approach for sharing structure across multiple tasks to enable more efficient learning. However, the multi-task setting presents a number of optimization challenges, making it difficult to realize large efficiency gains compared to learning tasks independently. The reasons why multi-task learning is so challenging compared to single-task learning are not fully understood. In this work, we identify a set of three conditions of the multi-task optimization landscape that cause detrimental gradient interference, and develop a simple yet general approach for avoiding such interference between task gradients. We propose a form of gradient surgery that projects a task’s gradient onto the normal plane of the gradient of any other task that has a *conflicting* gradient. On a series of challenging multi-task supervised and multi-task RL problems, this approach leads to substantial gains in efficiency and performance. Further, it is model-agnostic and can be combined with previously-proposed multi-task architectures for enhanced performance."
arxiv-1803.10704,Liu et al. (2019),2019,End-to-End Multi-Task Learning with Attention,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR 2019),conference,Multi-Task Optimization,experimental,Multi-Task Attention Network (MTAN),Introduces Dynamic Weight Average as a foundational heuristic that balances task losses using relative descending rates calculated from preceding training epochs without extra backpropagation passes.,"Multi-task networks must learn both task-shared and task-specific features while balancing each task's contribution to the loss, yet most existing approaches address only one of these challenges and scale poorly in parameters as tasks are added.","The authors propose MTAN, a single shared network holding a global feature pool with a soft attention module per task at each layer that learns task-specific masks over the shared features end-to-end, together with a simple adaptive loss-weighting scheme called Dynamic Weight Average.",MTAN matches or outperforms existing multi-task architectures on dense prediction and classification benchmarks while using far fewer parameters and remaining robust to the choice of loss-weighting scheme.,"CityScapes, NYUv2, Visual Decathlon Challenge","We propose a novel multi-task learning architecture, which allows learning of task-specific feature-level attention. Our design, the Multi-Task Attention Network (MTAN), consists of a single shared network containing a global feature pool, together with a soft-attention module for each task. These modules allow for learning of task-specific features from the global features, whilst simultaneously allowing for features to be shared across different tasks. The architecture can be trained end-to-end and can be built upon any feed-forward neural network, is simple to implement, and is parameter efficient. We evaluate our approach on a variety of datasets, across both image-to-image predictions and image classification tasks. We show that our architecture is state-of-the-art in multi-task learning compared to existing methods, and is also less sensitive to various weighting schemes in the multi-task loss function. Code is available at [https://github.com/lorenmt/mtan](https://github.com/lorenmt/mtan """")."
arxiv-1711.02257,Chen et al. (2018),2018,GradNorm: Gradient Normalization for Adaptive Loss Balancing in Deep Multitask Networks,Proceedings of the 35th International Conference on Machine Learning (ICML 2018),conference,Multi-Task Optimization,experimental,GradNorm,Supplies the benchmarked GradNorm algorithm that balances gradient magnitudes across tasks according to relative inverse training rates at the shared layers.,Training deep multitask networks is hard because task imbalances cause gradient magnitude imbalances that let dominant tasks overwhelm shared feature learning.,The authors propose GradNorm to dynamically balance gradient magnitudes across tasks by adjusting multitask loss weights according to relative training rates.,GradNorm improves multitask accuracy and reduces overfitting across multiple vision tasks while matching or exceeding the performance of exhaustive grid search.,"synthetic toy multitask regression system (2-task and 10-task), NYUv2+seg (NYUv2 with depth, surface normals, and 13-class segmentation labels), NYUv2+kpts (augmented NYUv2 with depth, surface normals, and human-annotated room keypoints, ~90,000 images), Multitask Facial Landmark (MTFL) dataset, VGG16 SegNet (29M parameters), Thin ResNet-50 FCN (15M parameters), 4x Titan X GTX 12GB GPUs","Deep multitask networks, in which one neural network produces multiple predictive outputs, can offer better speed and performance than their single-task counterparts but are challenging to train properly. We present a gradient normalization (GradNorm) algorithm that automatically balances training in deep multitask models by dynamically tuning gradient magnitudes. We show that for various network architectures, for both regression and classification tasks, and on both synthetic and real datasets, GradNorm improves accuracy and reduces overfitting across multiple tasks when compared to single-task networks, static baselines, and other adaptive multitask loss balancing techniques. GradNorm also matches or surpasses the performance of exhaustive grid search methods, despite only involving a single asymmetry hyperparameter α\alpha. Thus, what was once a tedious search process that incurred exponentially more compute for each task added can now be accomplished within a few training runs, irrespective of the number of tasks. Ultimately, we will demonstrate that gradient manipulation affords us great control over the training dynamics of multitask networks and may be one of the keys to unlocking the potential of multitask learning."
arxiv-1705.07115,Kendall et al. (2018),2018,Multi-Task Learning Using Uncertainty to Weigh Losses for Scene Geometry and Semantics,Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition (CVPR 2018),conference,Multi-Task Optimization,experimental,homoscedastic uncertainty-weighted multi-task loss with a DeepLabV3/ResNet101 encoder-decoder scene understanding network,Provides the benchmarked uncertainty weighting algorithm that dynamically scales task losses using learned homoscedastic task variance parameters.,"Multi-task deep learning performance depends strongly on the relative weighting between each task's loss, and hand-tuning these weights is expensive and difficult, which makes multi-task learning impractical.",The authors derive a principled multi-task loss function that automatically learns the relative weights of multiple classification and regression losses by maximizing the likelihood of each task under its homoscedastic (task-dependent) uncertainty.,"Weighting task losses by learned homoscedastic uncertainty allows a single model to jointly learn semantic segmentation, instance segmentation, and per-pixel depth regression while outperforming separately trained single-task models.","CityScapes, Tiny CityScapes (downsampled to 128x256 resolution), NVIDIA GeForce GTX 1080Ti GPU","Numerous deep learning applications benefit from multi-task learning with multiple regression and classification objectives. In this paper we make the observation that the performance of such systems is strongly dependent on the relative weighting between each task’s loss. Tuning these weights by hand is a difficult and expensive process, making multi-task learning prohibitive in practice. We propose a principled approach to multi-task deep learning which weighs multiple loss functions by considering the homoscedastic uncertainty of each task. This allows us to simultaneously learn various quantities with different units or scales in both classification and regression settings. We demonstrate our model learning per-pixel depth regression, semantic and instance segmentation from a monocular input image. Perhaps surprisingly, we show our model can learn multi-task weightings and outperform separate models trained individually on each task."
arxiv-1810.04650,Sener and Koltun (2018),2018,Multi-Task Learning as Multi-Objective Optimization,Advances in Neural Information Processing Systems 31 (NeurIPS 2018),conference,Multi-Task Optimization,experimental,MGDA-UB (Multiple Gradient Descent Algorithm - Upper Bound),Provides the foundational multi-objective optimization framework that adapts multiple gradient descent to locate Pareto-stationary solutions with an efficient representation-level upper bound.,"The common practice of minimizing a weighted linear combination of per-task losses in multi-task learning is only valid when tasks do not compete, but real tasks often conflict, so a trade-off between them must be modeled rather than approximated by a fixed weighted sum.","The authors recast multi-task learning as multi-objective optimization aimed at finding a Pareto optimal solution, using a Frank-Wolfe-based solver for the multiple gradient descent algorithm together with an upper-bound objective (MGDA-UB) computed from gradients with respect to shared representations so that everything runs with a single backward pass and negligible overhead.","Treating multi-task learning explicitly as multi-objective optimization yields models that outperform recent multi-task formulations, uncertainty weighting, GradNorm, and per-task training across digit classification, multi-label classification, and scene understanding, while adding negligible computational overhead.","MultiMNIST, CelebA, Cityscapes, Titan Xp GPU","In multi-task learning, multiple tasks are solved jointly, sharing inductive bias between them. Multi-task learning is inherently a multi-objective problem because different tasks may conflict, necessitating a trade-off. A common compromise is to optimize a proxy objective that minimizes a weighted linear combination of per-task losses. However, this workaround is only valid when the tasks do not compete, which is rarely the case. In this paper, we explicitly cast multi-task learning as multi-objective optimization, with the overall objective of finding a Pareto optimal solution. To this end, we use algorithms developed in the gradient-based multi-objective optimization literature. These algorithms are not directly applicable to large-scale learning problems since they scale poorly with the dimensionality of the gradients and the number of tasks. We therefore propose an upper bound for the multi-objective loss and show that it can be optimized efficiently. We further prove that optimizing this upper bound yields a Pareto optimal solution under realistic assumptions. We apply our method to a variety of multi-task deep learning problems including digit classification, scene understanding (joint semantic segmentation, instance segmentation, and depth estimation), and multi-label classification. Our method produces higher-performing models than recent multi-task learning formulations or per-task training."
doi-10.1023-A-1007379606734,Caruana (1997),1997,Multitask Learning,Machine Learning,journal,Multi-Task Optimization,experimental,"Multitask Learning (MTL) in backpropagation nets, plus MTL algorithms for k-nearest neighbor, kernel regression, and decision trees",Establishes the foundational hard parameter sharing paradigm that enables concurrent multi-task training over a single shared encoder to improve generalization through inductive transfer.,"Learning each task in isolation ignores the domain information available in the training signals of related tasks drawn from the same domain, causing tabula rasa learners to generalize poorly on difficult real-world problems.","Train multiple related tasks in parallel on one learner that shares an internal representation (e.g., extra outputs on a backprop net with a shared hidden layer), so the extra task training signals act as an inductive bias that improves generalization on the main task.","Across simulated and real domains (road following, door recognition, pneumonia risk prediction, robot sensing, and synthetic functions), training related tasks in parallel on a shared representation cut generalization error on the main task by roughly 5-40%, and shuffle tests confirmed the gains come from information in the extra training signals rather than side effects of having multiple outputs.","1D-ALVINN synthetic road image domain, 1D-DOORS real door image domain collected with a robot-mounted camera, Medis Pneumonia Database (14,199 pneumonia cases from 78 hospitals), Peaks Functions (120 synthetic conditional functions), Xavier robot sensory prediction domain, synthetic F1/F2 sigmoid function problems","Multitask Learning is an approach to inductive transfer that improves generalization by using the domain information contained in the training signals of _related_ tasks as an inductive bias. It does this by learning tasks in parallel while using a shared representation; what is learned for each task can help other tasks be learned better. This paper reviews prior work on MTL, presents new evidence that MTL in backprop nets discovers task relatedness without the need of supervisory signals, and presents new results for MTL with k-nearest neighbor and kernel regression. In this paper we demonstrate multitask learning in three domains. We explain how multitask learning works, and show that there are many opportunities for multitask learning in real domains. We present an algorithm and results for multitask learning with case-based methods like k-nearest neighbor and kernel regression, and sketch an algorithm for multitask learning in decision trees. Because multitask learning works, can be applied to many different kinds of domains, and can be used with different learning algorithms, we conjecture there will be many opportunities for its use on real-world problems."
arxiv-2406.15477,Yin et al. (2026),2026,CrisisSense-LLM: Instruction Fine-Tuned Large Language Model for Multi-label Social Media Text Classification in Disaster Informatics,Advanced Engineering Informatics,journal,Crisis Informatics & Triage,experimental,CrisisSense-LLM (instruction fine-tuned LLaMA2),Proves that instruction fine-tuning enables a unified architecture to classify multiple disaster dimensions simultaneously rather than using separate models.,"Disaster text classification studies usually train one model per label, which creates redundancy and inefficiency, and general pre-trained LLMs lack the disaster-specific knowledge needed for reliable use on these tasks.","The authors build an instruction dataset of over 60,000 labeled disaster tweets and use it to instruction fine-tune the open-source LLaMA2 model so that one model predicts event type, informativeness, and human aid type at the same time.","Instruction fine-tuning a single LLM for simultaneous multi-label disaster tweet classification raises overall accuracy to 63.8 percent, nearly 15 times better than the zero-shot baseline models.","CrisisBench disaster tweet dataset, computation node with 3 A40 GPUs for LoRA fine-tuning, computation node with 16 A100 GPUs for full parameter tuning","In the field of crisis/disaster informatics, social media is increasingly being used for improving situational awareness to inform response and relief efforts. Efficient and accurate text classification tools have been a focal area of investigation in crisis informatics. This study introduces a novel approach to disaster text classification by enhancing a pre-trained Large Language Model (LLM) through instruction fine-tuning targeted for multi-label classification of disaster-related tweets. Our methodology involves creating a comprehensive instruction dataset with more than 60,000 samples from disaster-related tweets, which is then used to fine-tune an open-source LLM, thereby embedding it with disaster-specific knowledge. This fine-tuned model can classify multiple aspects of disaster-related information simultaneously, such as the type of event, informativeness, and involvement of human aid, significantly improving the utility of social media data for situational awareness in disasters. Our results show a significant improvement in categorizing critical information, with an overall accuracy of 63.8% across multiple labels. The overall accuracy of the fine-tuned model is nearly 15 times better than baseline models, whose overall accuracy is 4.27%, demonstrating its effectiveness in enhancing situational awareness. This research paves the way for more advanced, adaptable, and robust disaster management tools, leveraging the capabilities of LLMs to improve real-time situational awareness and response strategies in disaster scenarios. The source code and data relevant to this work is openly accessible in https://github.com/KaiYin97/CrsisLLM"
arxiv-2511.10120,Seeberger et al. (2025),2025,Generalizing to Unseen Disaster Events: A Causal View,Findings of the Association for Computational Linguistics: AACL-IJCNLP 2025,conference,Crisis Informatics & Triage,experimental,Causal debiasing framework with domain-specific experts and bias model,"Analyzes event-specific spurious correlations and demonstrates how debiasing strategies enhance generalization to emerging, unseen disaster events.","Classifiers for disaster posts rely on spurious event-specific and domain-specific cues from past events, which hurts generalization to emerging disaster events.","The authors propose a causal debiasing framework that combines an event bias model, domain-specific attention experts, and masking augmentation.",The proposed causal debiasing framework outperforms all baselines across three disaster classification tasks under temporal splits to unseen events.,"HumAID, CrisisLex T26, Trecis (TREC Incident Streams), NVIDIA A100 GPU (40GB)","Due to the rapid growth of social media platforms, these tools have become essential for monitoring information during ongoing disaster events. However, extracting valuable insights requires real-time processing of vast amounts of data. A major challenge in existing systems is their exposure to event-related biases, which negatively affects their ability to generalize to emerging events. While recent advancements in debiasing and causal learning offer promising solutions, they remain underexplored in the disaster event domain. In this work, we approach bias mitigation through a causal lens and propose a method to reduce event- and domain-related biases, enhancing generalization to future events. Our approach outperforms multiple baselines by up to +1.9% F1 and significantly improves a PLM-based classifier across three disaster classification tasks."
arxiv-2504.16144,Zguir et al. (2025),2025,Detecting Actionable Requests and Offers on Social Media During Crises Using LLMs,Proceedings of the 22nd International Conference on Information Systems for Crisis Response and Management (ISCRAM 2025),conference,Crisis Informatics & Triage,experimental,Query-Specific Few-shot Learning (QSF Learning),Develops a fine-grained hierarchical taxonomy and retrieval-augmented prompting for actionability and resource triage during disasters.,"Existing crisis social media systems classify posts only at a coarse request versus offer level with single labels, and supervised models need costly human annotation that is hard to obtain during disasters.","The authors build a fine-grained hierarchical taxonomy of supplies, actions, and emergency personnel and classify posts with instruction-tuned LLMs using QSF Learning, a RAG-based prompting method that retrieves query-specific labeled examples for each input message.","QSF Learning consistently beats static baseline prompting strategies across models and datasets, with the largest gains on the complex actions and personnel tasks.","Synthetic dataset of 1,346 disaster tweets generated with GPT-4o, 300 manually annotated Hurricane Sandy tweets from Purohit et al. 2014, later improved by Lamsal et al. 2024","Natural disasters often result in a surge of social media activity, including requests for assistance, offers of help, sentiments, and general updates. To enable humanitarian organizations to respond more efficiently, we propose a fine-grained hierarchical taxonomy to systematically organize crisis-related information about requests and offers into three critical dimensions: supplies, emergency personnel, and actions. Leveraging the capabilities of Large Language Models (LLMs), we introduce Query-Specific Few-shot Learning (QSF Learning) that retrieves class-specific labeled examples from an embedding database to enhance the model's performance in detecting and classifying posts. Beyond classification, we assess the actionability of messages to prioritize posts requiring immediate attention. Extensive experiments demonstrate that our approach outperforms baseline prompting strategies, effectively identifying and prioritizing actionable requests and offers."
arxiv-2309.05494,Lamsal et al. (2024),2024,CrisisTransformers: Pre-trained language models and sentence encoders for crisis-related social media texts,Knowledge-Based Systems,journal,Crisis Informatics & Triage,experimental,"CrisisTransformers (CT-M1, CT-M2, CT-M3 pre-trained models and their sentence encoder variants)",Introduces domain-specific pretrained transformer encoders that outperform generic language models across eighteen crisis informatics benchmarks.,"Existing pre-trained language models and general-purpose sentence encoders are not tailored to the informal language of crisis-related social media texts, which limits the automated analysis that emergency responders need.",The authors pre-train BERT-base sized models called CrisisTransformers on a 15 billion token corpus of crisis tweets and adapt them into sentence encoders with contrastive learning.,Domain-specific pre-training on crisis tweets produces models that beat strong general-purpose baselines on all 18 crisis classification datasets and lifts the sentence encoding state of the art by 17.43 percent.,"Crisis corpus of over 15 billion word tokens from tweets on more than 30 crisis events (pre-training), CrisisMMD (D-01), CrisisLex (D-02), AIDR (D-03), ISCRAM2013 (D-04), SWDM2013 (D-05), CrisisNLP (D-06), Poddar et al. (2022) COVID-19 vaccine stance dataset (D-07), SAD Stressor (D-08), SAD Stress (D-09), SAD COVID (D-10), LocBERT (D-11), HMC (a) (D-12), Cotfas et al. (2021) COVID-19 vaccination opinions dataset (D-13), HMC (b) (D-14), PHM (D-15), Klein et al. (2021) (a) (D-16), Klein et al. (2021) (b) (D-17), ANTiVax (D-18), GooAQ (question, answer pairs for MNR training), QQP (triplets with hard negatives), AllNLI, General-domain SemEval tweet datasets (Appendix A), 6 NVIDIA A100 GPUs with 80GB memory for pre-training, Intel Xeon Gold 6326 CPU with an 80GB A100 GPU for inference time analysis","Social media platforms play an essential role in crisis communication, but analyzing crisis-related social media texts is challenging due to their informal nature. Transformer-based pre-trained models like BERT and RoBERTa have shown success in various NLP tasks, but they are not tailored for crisis-related texts. Furthermore, general-purpose sentence encoders are used to generate sentence embeddings, regardless of the textual complexities in crisis-related texts. Advances in applications like text classification, semantic search, and clustering contribute to the effective processing of crisis-related texts, which is essential for emergency responders to gain a comprehensive view of a crisis event, whether historical or real-time. To address these gaps in crisis informatics literature, this study introduces CrisisTransformers, an ensemble of pre-trained language models and sentence encoders trained on an extensive corpus of over 15 billion word tokens from tweets associated with more than 30 crisis events, including disease outbreaks, natural disasters, conflicts, and other critical incidents. We evaluate existing models and CrisisTransformers on 18 crisis-specific public datasets. Our pre-trained models outperform strong baselines across all datasets in classification tasks, and our best-performing sentence encoder improves the state-of-the-art by 17.43% in sentence encoding tasks. Additionally, we investigate the impact of model initialization on convergence and evaluate the significance of domain-specific models in generating semantically meaningful sentence embeddings. The models are publicly available at: https://huggingface.co/crisistransformers"
doi-10.25147-ijcsr.2017.001.1.80,Ermino et al. (2022),2022,Evaluating Urgency of Typhoon-Related Tweets Through Sentiment Analysis Using Artificial Neural Networks,International Journal of Computing Sciences Research,journal,Crisis Informatics & Triage,experimental,Feed-forward artificial neural network,Grounds the disaster triage problem in Philippine typhoon response by evaluating neural models for social media urgency scoring.,Responders in the Philippines cannot efficiently find urgent disaster calls on social media because government communication protocols do not standardize social media platforms.,The authors train a feed-forward neural network using supervised sentiment analysis to assign urgency scores between 0 and 1 to typhoon-related tweets.,"The artificial neural network accurately predicts the urgency of typhoon tweets, achieving 99.17 percent validation accuracy and 99 percent accuracy on separate confusion matrix testing.","Dataset of 4,020 English and Tagalog tweets from Typhoon Ulysses collected using Tweepy and the Twitter API, split into 3,900 training and 120 validation tweets, Validation dataset of 100 tweets with 43 urgent and 57 non-urgent tweets for confusion matrix analysis","_Purpose_ – The main objective of this project was to evaluate typhoon-related Tweets’ urgency using sentiment analysis with supervised learning over an artificial neural network.

_Method_ – The researchers implemented artificial neural network and natural language processing techniques for sentiment analysis and evaluation of the urgency score of typhoon-related Tweets. The model’s accuracy on training and validation was evaluated simultaneously. A separate validation using 100 data was done using confusion matrix analysis.

_Results_ – The accuracy of the model in training was at 99.87% and the loss was 0.0074. Validation was conducted simultaneously with the training. It was found that the accuracy of the model was at 99.17% and the loss was 0.0680. The confusion matrix analysis showed that the sensitivity was 97.67% and the specificity was 100%. The positive predictive value was 100% and the negative predicted value was 98.28%. Both false positive and false discovery rates are at 0% while the false-negative rate was at 2.33%. Finally, the F1 score was 98.82% and accuracy was 99%.

_Conclusion_ – The implementation of the architecture of the model was successful; the researchers concluded that the training produced successful results by looking at the high accuracy prediction of the model and the low loss during the simultaneous training and validation, and confusion matrix analysis for the separate validation.

_Recommendations_ – The researchers recommend expanding the vocabulary of the model by adding more diverse data to the dataset when training. The model produced by this study can be used in incident reporting systems that will be helpful during times of typhoon-related disasters.

_Research Implications_ – Using the model produced by the study in incident reporting applications of the government and NGOs will be more efficient than manually looking at typhoon-related posts on Twitter."
arxiv-2211.11468,Seeberger and Riedhammer (2022),2022,Enhancing Crisis-Related Tweet Classification with Entity-Masked Language Modeling and Multi-Task Learning,NLP4PI Workshop @ EMNLP 2022,workshop,Crisis Informatics & Triage,experimental,Entity-masked language modeling (E-MLM) with hierarchical multi-task classification heads (HMCN) on BERT,Couples entity masking with multi-task learning to prevent overfitting to disaster-specific named entities and improve cross-event generalization.,"Crisis tweet classifiers overfit to event-specific entities and biases and face highly imbalanced labels, so they perform poorly on rare actionable information types for unseen disaster events.",The authors combine adaptive pre-training with entity-masked language modeling and hierarchical multi-label classification heads trained as a multi-task problem on top of BERT.,The combination of entity-masked pre-training and hierarchical multi-task learning raises actionable information type F1 by up to 10 percent and improves generalization to unseen crisis events.,TREC-IS (2020B split of crisis-related tweets),"Social media has become an important information source for crisis management and provides quick access to ongoing developments and critical information. However, classification models suffer from event-related biases and highly imbalanced label distributions which still poses a challenging task. To address these challenges, we propose a combination of entity-masked language modeling and hierarchical multi-label classification as a multi-task learning problem. We evaluate our method on tweets from the TREC-IS dataset and show an absolute performance gain w.r.t. F1-score of up to 10% for actionable information types. Moreover, we found that entity-masking reduces the effect of overfitting to in-domain events and enables improvements in cross-event generalization. Our source code is publicly available on GitHub."
arxiv-2004.06774,Alam et al. (2021),2021,CrisisBench: Benchmarking Crisis-related Social Media Datasets for Humanitarian Information Processing,Proceedings of the International AAAI Conference on Web and Social Media (ICWSM 2021),conference,Crisis Informatics & Triage,dataset-benchmark,"event-aware training with CNN, fastText, and transformer models (BERT, DistilBERT, RoBERTa)",Provides the consolidated benchmark dataset and standardized evaluation protocol for informativeness and humanitarian intent classification across multiple crisis types.,"Crisis informatics research lacks standard benchmark datasets because the datasets used across studies are dispersed, use inconsistent class labels, contain exact and near-duplicate content, and often lack language tags, making published results impossible to compare.","The authors consolidate eight publicly available crisis tweet datasets into one standardized resource with manually mapped class labels, filtered exact and near duplicates, and per-tweet language tags, and provide benchmark results using CNN, fastText, and transformer models for informativeness and humanitarian classification.","Training on the consolidated, duplicate-free dataset generalizes better than training on individual datasets, and transformer models (best: RoBERTa) set benchmarks of 0.883 weighted F1 for informativeness and 0.872 for humanitarian classification on the cleaned English tweets.","CrisisBench consolidated dataset (English tweets, new dataset built by the paper), CrisisBench consolidated multilingual dataset (preliminary experiments), CrisisLex (CrisisLexT26 and CrisisLexT6), CrisisNLP, SWDM2013, ISCRAM2013, Disaster Response Data (DRD), Disasters on Social Media (DSM), CrisisMMD, AIDR","Time-critical analysis of social media streams is important for humanitarian organizations for planing rapid response during disasters. The crisis informatics research community has developed several techniques and systems for processing and classifying big crisis-related data posted on social media. However, due to the dispersed nature of the datasets used in the literature (e.g., for training models), it is not possible to compare the results and measure the progress made towards building better models for crisis informatics tasks. In this work, we attempt to bridge this gap by combining various existing crisis-related datasets. We consolidate eight human-annotated datasets and provide 166.1k and 141.5k tweets for informativeness and humanitarian classification tasks, respectively. We believe that the consolidated dataset will help train more sophisticated models. Moreover, we provide benchmarks for both binary and multiclass classification tasks using several deep learning architecrures including, CNN, fastText, and transformers. We make the dataset and scripts available at: https://crisisnlp.qcri.org/crisis\_datasets\_benchmarks.html"
arxiv-2104.03090,Alam et al. (2021),2021,HumAID: Human-Annotated Disaster Incidents Data from Twitter with Deep Learning Benchmarks,Proceedings of the International AAAI Conference on Web and Social Media (ICWSM 2021),conference,Crisis Informatics & Triage,dataset-benchmark,"SVM, Random Forest, fastText, and transformer models (BERT, RoBERTa, XLM-RoBERTa, DistilBERT)",Supplies the largest human-annotated disaster tweet corpus and establishes transformer baselines across nineteen separate disaster events.,"Existing labeled Twitter datasets for disaster response are small, contain exact or near duplicates, and are otherwise too limited to support data-hungry deep learning models for humanitarian information classification.","The authors built HumAID, the largest human-annotated disaster tweet dataset (about 77K tweets sampled from roughly 24 million tweets covering 19 disasters) through a multi-step filtering and crowdsourced annotation pipeline, and released fixed data splits with classification baselines.","HumAID is the largest publicly available human-annotated disaster tweet dataset, and the authors' experiments show transformer-based models, especially RoBERTa, outperform classical supervised algorithms, providing strong baselines for future crisis informatics research.","HumAID: newly created dataset of 77,196 human-labeled tweets across 19 disaster events (2016-2019), Pool of 24,859,155 tweets collected via the AIDR system using the Twitter streaming API, Humanitarian categories labeled data from Alam, Imran, and Ofli (2019) used to train the Random Forest filtering classifier","Social networks are widely used for information consumption and dissemination, especially during time-critical events such as natural disasters. Despite its significantly large volume, social media content is often too noisy for direct use in any application. Therefore, it is important to filter, categorize, and concisely summarize the available content to facilitate effective consumption and decision-making. To address such issues automatic classification systems have been developed using supervised modeling approaches, thanks to the earlier efforts on creating labeled datasets. However, existing datasets are limited in different aspects (e.g., size, contains duplicates) and less suitable to support more advanced and data-hungry deep learning models. In this paper, we present a new large-scale dataset with ∼{\sim}77K human-labeled tweets, sampled from a pool of ∼{\sim}24 million tweets across 19 disaster events that happened between 2016 and 2019. Moreover, we propose a data collection and sampling pipeline, which is important for social media data sampling for human annotation. We report multiclass classification results using classic and deep learning (fastText and transformer) based models to set the ground for future studies. The dataset and associated resources are publicly available.11 1 https://crisisnlp.qcri.org/humaid\_dataset.html"
