citekey	type	authors	year	title	venue	volume_pages	doi	md_path	used_in
jiang2023forkmerge	inproceedings	Jiang, Junguang and Chen, Baixu and Pan, Junwei and Wang, Ximei and Liu, Dapeng and Jiang, Jie and Long, Mingsheng	2023	ForkMerge: Mitigating Negative Transfer in Auxiliary-Task Learning	Advances in Neural Information Processing Systems	36	10.48550/arXiv.2301.12618		H4a/H4b Diagnostic Coupling
david2016tweeting	article	David, Clarissa C. and Ong, Jonathan Corpus and Legara, Erika Fille T.	2016	Tweeting Supertyphoon Haiyan: Evolving Functions of Twitter during and after a Disaster Event	PLOS ONE	11(3), e0150190	10.1371/journal.pone.0150190		1.3, 2.1.2, 3.2 roster rationale
das2013codemixing	article	Das, Amitava and Gambäck, Björn	2013	Code-Mixing in Social Media Text: The Last Language Identification Frontier?	Traitement Automatique des Langues	54(3), 41–64			2.2 Code-Mixing/LID
marone2025mmbert	misc	Marone, Marc and Weller, Orion and Fleshman, William and Yang, Eugene and Lawrie, Dawn and Van Durme, Benjamin	2025	mmBERT: A Modern Multilingual Encoder with Annealed Language Learning	arXiv preprint		10.48550/arXiv.2509.06888		2.2 Encoder
imran2016twitter	inproceedings	Imran, Muhammad and Mitra, Prasenjit and Castillo, Carlos	2016	Twitter as a Lifeline: Human-annotated Twitter Corpora for NLP of Crisis-related Messages	Proceedings of the Tenth International Conference on Language Resources and Evaluation (LREC 2016)		10.48550/arXiv.1605.05894	references-extracted/doi-10.48550-arXiv.1605.05894/hybrid_txt/doi-10.48550-arXiv.1605.05894.md	2.1 Crisis informatics; 3.2 tweet-ID hydration convention
alam2021humaid	inproceedings	Alam, Firoj and Qazi, Umair and Imran, Muhammad and Ofli, Ferda	2021	HumAID: Human-Annotated Disaster Incidents Data from Twitter with Deep Learning Benchmarks	Proceedings of the International AAAI Conference on Web and Social Media (ICWSM)	15, 933–942	10.48550/arXiv.2104.03090	references-extracted/doi-10.48550-arXiv.2104.03090/hybrid_txt/doi-10.48550-arXiv.2104.03090.md	2.1 Crisis informatics
devlin2019bert	inproceedings	Devlin, Jacob and Chang, Ming-Wei and Lee, Kenton and Toutanova, Kristina	2019	BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding	Proceedings of the 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers)		10.48550/arXiv.1810.04805	references-extracted/doi-10.48550-arXiv.1810.04805/hybrid_txt/doi-10.48550-arXiv.1810.04805.md	2.2 Encoder/Code-mixing
conneau2020xlmr	inproceedings	Conneau, Alexis and Khandelwal, Kartikay and Goyal, Naman and Chaudhary, Vishrav and Wenzek, Guillaume and Guzmán, Francisco and Grave, Edouard and Ott, Myle and Zettlemoyer, Luke and Stoyanov, Veselin	2020	Unsupervised Cross-lingual Representation Learning at Scale	Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics	8440–8451	10.48550/arXiv.1911.02116	references-extracted/doi-10.48550-arXiv.1911.02116/hybrid_txt/doi-10.48550-arXiv.1911.02116.md	2.2 Encoder/Code-mixing
sanh2019distilbert	misc	Sanh, Victor and Debut, Lysandre and Chaumond, Julien and Wolf, Thomas	2019	DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter	arXiv preprint		10.48550/arXiv.1910.01108	references-extracted/doi-10.48550-arXiv.1910.01108/hybrid_txt/doi-10.48550-arXiv.1910.01108.md	2.2 Encoder/Code-mixing
liu2021cagrad	inproceedings	Liu, Bo and Liu, Xingchao and Jin, Xiaojie and Stone, Peter and Liu, Qiang	2021	Conflict-Averse Gradient Descent for Multi-task Learning	Advances in Neural Information Processing Systems	34, 18878–18890	10.48550/arXiv.2110.14048	references-extracted/doi-10.48550-arXiv.2110.14048/hybrid_txt/doi-10.48550-arXiv.2110.14048.md	2.3 MTO
sener2018multitask	inproceedings	Sener, Ozan and Koltun, Vladlen	2018	Multi-Task Learning as Multi-Objective Optimization	Advances in Neural Information Processing Systems	31, 525–536	10.48550/arXiv.1810.04650	references-extracted/doi-10.48550-arXiv.1810.04650/hybrid_txt/doi-10.48550-arXiv.1810.04650.md	2.3 MTO
coa2024drrm	techreport	Commission on Audit (COA), Republic of the Philippines	2024	Consolidated Report on the Audit of Disaster Risk Reduction and Management (DRRM) Funds for the Calendar Year 2024	Commission on Audit, Republic of the Philippines			references-extracted/coa-2024-drrm-funds-consolidated-report/hybrid_txt/coa-2024-drrm-funds-consolidated-report.md	G5 Legal/gov anchors
ra10173	misc	Congress of the Philippines, Republic of the Philippines	2012	An Act Protecting Individual Personal Information in Information and Communications Systems in the Government and the Private Sector, Creating for This Purpose a National Privacy Commission, and for Other Purposes (Data Privacy Act of 2012)					G5 Legal/gov anchors; 3.2 PII redaction
wang2021transformer	misc	Wang, Congcong and Nulty, Paul and Lillis, David	2021	Transformer-based Multi-task Learning for Disaster Tweet Categorisation	arXiv preprint		10.48550/arXiv.2110.08010	references-extracted/doi-10.48550-arXiv.2110.08010/hybrid_txt/doi-10.48550-arXiv.2110.08010.md	Table 2.2 candidates
zahera2020iaid	misc	Zahera, Hamada M. and Jalota, Rricha and Sherif, Mohamed Ahmed and Ngonga Ngomo, Axel-Cyrille	2020	I-AID: Identifying Actionable Information from Disaster-related Tweets	arXiv preprint		10.48550/arXiv.2008.13544	references-extracted/doi-10.48550-arXiv.2008.13544/hybrid_txt/doi-10.48550-arXiv.2008.13544.md	Table 2.2 candidates
seeberger2022enhancing	misc	Seeberger, Philipp and Riedhammer, Korbinian	2022	Enhancing Crisis-Related Tweet Classification with Entity-Masked Language Modeling and Multi-Task Learning	arXiv preprint		10.48550/arXiv.2211.11468	references-extracted/doi-10.48550-arXiv.2211.11468/hybrid_txt/doi-10.48550-arXiv.2211.11468.md	Table 2.2 candidates
herrera2022tweettaglish	inproceedings	Herrera, Megan and Aich, Ankit and Parde, Natalie	2022	TweetTaglish: A Dataset for Investigating Tagalog-English Code-Switching	Proceedings of the Thirteenth Language Resources and Evaluation Conference (LREC 2022)			references-extracted/acl-2022.lrec-1.225/hybrid_txt/acl-2022.lrec-1.225.md	Table 2.2 candidates
sheth2025comilingua	misc	Sheth, Rajvee and Beniwal, Himanshu and Singh, Mayank	2025	COMI-LINGUA: Expert Annotated Large-Scale Dataset for Multitask NLP in Hindi-English Code-Mixing	arXiv preprint		10.48550/arXiv.2503.21670	references-extracted/doi-10.48550-arXiv.2503.21670/hybrid_txt/doi-10.48550-arXiv.2503.21670.md	Table 2.2 candidates
ramos2023tfnerd	inproceedings	Ramos, Robin Kamille B. and Vergara, John Paul C.	2023	TF-NERD: Tagalog Fine-grained Named Entity Recognition Dataset	2023 7th International Conference on Natural Language Processing and Information Retrieval (NLPIR 2023)		10.1145/3639233.3639341	references-extracted/doi-10.1145-3639233.3639341/hybrid_txt/doi-10.1145-3639233.3639341.md	Table 2.2 candidates
clark2022canine	article	Clark, Jonathan H. and Garrette, Dan and Turc, Iulia and Wieting, John	2022	CANINE: Pre-training an Efficient Tokenization-Free Encoder for Language Representation	Transactions of the Association for Computational Linguistics		10.48550/arXiv.2103.06874	references-extracted/doi-10.48550-arXiv.2103.06874/hybrid_txt/doi-10.48550-arXiv.2103.06874.md	Table 2.2 candidates
ahia2023tokenization	misc	Ahia, Orevaoghene and Kumar, Sachin and Gonen, Hila and Kasai, Jungo and Mortensen, David R. and Smith, Noah A. and Tsvetkov, Yulia	2023	Do All Languages Cost the Same? Tokenization in the Era of Commercial Language Models	arXiv preprint		10.48550/arXiv.2305.13707	references-extracted/doi-10.48550-arXiv.2305.13707/hybrid_txt/doi-10.48550-arXiv.2305.13707.md	Table 2.2 candidates
dror2018hitchhiker	inproceedings	Dror, Rotem and Baumer, Gili and Shlomov, Segev and Reichart, Roi	2018	The Hitchhiker's Guide to Testing Statistical Significance in Natural Language Processing	Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)	1383–1392	10.18653/v1/P18-1128		3.6 significance practice
dodge2019show	inproceedings	Dodge, Jesse and Gururangan, Suchin and Card, Dallas and Schwartz, Roy and Smith, Noah A.	2019	Show Your Work: Improved Reporting of Experimental Results	Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP)	2185–2194	10.18653/v1/D19-1224		3.6 significance practice
card2020power	inproceedings	Card, Dallas and Henderson, Peter and Khandelwal, Urvashi and Jia, Robin and Mahowald, Kyle and Jurafsky, Dan	2020	With Little Power Comes Great Responsibility	Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)	9263–9274	10.18653/v1/2020.emnlp-main.745		3.6 significance practice
warner2025modernbert	inproceedings	Warner, Benjamin and Chaffin, Antoine and Clavié, Benjamin and Weller, Orion and Hallström, Oskar and Taghadouini, Said and Gallagher, Alexis and Biswas, Raja and Ladhak, Faisal and Aarsen, Tom and Adams, Griffin Thomas and Howard, Jeremy and Poli, Iacopo	2025	Smarter, Better, Faster, Longer: A Modern Bidirectional Encoder for Fast, Memory Efficient, and Long Context Finetuning and Inference	Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)	2526–2547	10.18653/v1/2025.acl-long.127		2.2 Encoder
aisingapore2026sealion	misc	AI Singapore	2026	SEA-LION-ModernBERT-300M [Model card]	Hugging Face (model card)				2.2 Encoder
